CODGEO,TP6016
01,"10,7"
02,"18,9"
03,"15,5"
04,"16,4"
05,"14,3"
06,"15,7"
07,"14,4"
08,"19,4"
09,"18,5"
10,"16,2"
11,"21,1"
12,"13,7"
13,"18,5"
14,"12,6"
15,"13,4"
16,"14,9"
17,"13,4"
18,"14,9"
19,"13,2"
21,"11,6"
22,"12,1"
23,"18,4"
24,"16,5"
25,"12,2"
26,"15,2"
27,"13,0"
28,"12,2"
29,"10,8"
2A,"17,2"
2B,"21,7"
30,"19,8"
31,"12,8"
32,"15,0"
33,"12,7"
34,"19,2"
35,"10,6"
36,"14,8"
37,"12,8"
38,"11,5"
39,"11,7"
40,"11,9"
41,"12,8"
42,"14,9"
43,"12,3"
44,"10,2"
45,"13,2"
46,"14,7"
47,"17,2"
48,"14,3"
49,"11,7"
50,"12,5"
51,"14,4"
52,"15,6"
53,"11,7"
54,"14,5"
55,"15,5"
56,"11,3"
57,"14,6"
58,"15,8"
59,"19,2"
60,"13,1"
61,"16,0"
62,"19,8"
63,"12,9"
64,"12,1"
65,"15,0"
66,"20,7"
67,"13,1"
68,"13,1"
69,"13,9"
70,"14,0"
71,"13,0"
72,"13,4"
73,"10,1"
74,"9,2"
75,"15,8"
76,"14,7"
77,"11,6"
78,"9,7"
79,"12,4"
80,"17,1"
81,"15,5"
82,"17,2"
83,"15,5"
84,"19,7"
85,"9,6"
86,"14,1"
87,"15,3"
88,"15,7"
89,"14,7"
90,"14,6"
91,"12,9"
92,"12,2"
93,"28,6"
94,"16,7"
95,"16,8"
972,"29,8"
974,"39,0"
