,,,
,,,
,,,
REG,DEP,COM,C16_MENPSEUL
84,1,1001,70
84,1,1002,30
84,1,1004,414
84,1,1004,805
84,1,1004,797
84,1,1004,517
84,1,1005,131
84,1,1006,20
84,1,1007,280
84,1,1008,94
84,1,1009,47
84,1,1010,151
84,1,1011,41
84,1,1012,55
84,1,1013,21
84,1,1014,331
84,1,1015,79
84,1,1016,30
84,1,1017,70
84,1,1019,5
84,1,1021,130
84,1,1022,190
84,1,1023,10
84,1,1024,346
84,1,1025,343
84,1,1026,117
84,1,1027,130
84,1,1028,46
84,1,1029,75
84,1,1030,101
84,1,1031,674
84,1,1032,257
84,1,1033,250
84,1,1033,767
84,1,1033,349
84,1,1033,365
84,1,1033,178
84,1,1034,620
84,1,1034,830
84,1,1034,335
84,1,1035,52
84,1,1036,80
84,1,1037,45
84,1,1038,80
84,1,1039,68
84,1,1040,45
84,1,1041,106
84,1,1042,35
84,1,1043,410
84,1,1044,77
84,1,1045,20
84,1,1046,78
84,1,1047,88
84,1,1049,226
84,1,1050,31
84,1,1051,15
84,1,1052,24
84,1,1053,865
84,1,1053,819
84,1,1053,630
84,1,1053,629
84,1,1053,555
84,1,1053,589
84,1,1053,991
84,1,1053,819
84,1,1053,425
84,1,1053,442
84,1,1053,395
84,1,1053,547
84,1,1053,565
84,1,1053,628
84,1,1053,401
84,1,1053,332
84,1,1053,185
84,1,1053,367
84,1,1054,94
84,1,1056,51
84,1,1057,66
84,1,1058,88
84,1,1059,15
84,1,1060,87
84,1,1061,82
84,1,1062,62
84,1,1063,45
84,1,1064,110
84,1,1065,141
84,1,1066,15
84,1,1067,34
84,1,1068,115
84,1,1069,178
84,1,1071,583
84,1,1072,405
84,1,1073,131
84,1,1074,320
84,1,1075,78
84,1,1076,32
84,1,1077,40
84,1,1078,146
84,1,1079,112
84,1,1080,91
84,1,1081,112
84,1,1082,65
84,1,1083,65
84,1,1084,73
84,1,1085,20
84,1,1087,40
84,1,1088,71
84,1,1089,140
84,1,1090,37
84,1,1091,315
84,1,1092,153
84,1,1093,849
84,1,1094,84
84,1,1095,105
84,1,1096,85
84,1,1097,35
84,1,1098,118
84,1,1099,206
84,1,1100,39
84,1,1101,20
84,1,1102,86
84,1,1103,195
84,1,1104,60
84,1,1105,150
84,1,1106,29
84,1,1107,20
84,1,1108,201
84,1,1109,223
84,1,1110,25
84,1,1111,20
84,1,1112,37
84,1,1113,111
84,1,1114,57
84,1,1115,155
84,1,1116,64
84,1,1117,10
84,1,1118,129
84,1,1121,15
84,1,1122,98
84,1,1123,80
84,1,1124,92
84,1,1125,66
84,1,1127,75
84,1,1128,36
84,1,1129,21
84,1,1130,115
84,1,1133,31
84,1,1134,155
84,1,1135,223
84,1,1136,73
84,1,1138,491
84,1,1139,76
84,1,1140,60
84,1,1141,40
84,1,1142,405
84,1,1143,770
84,1,1143,314
84,1,1143,451
84,1,1145,134
84,1,1146,25
84,1,1147,45
84,1,1148,230
84,1,1149,89
84,1,1150,20
84,1,1151,128
84,1,1152,90
84,1,1153,145
84,1,1154,76
84,1,1155,20
84,1,1156,54
84,1,1157,200
84,1,1158,97
84,1,1159,398
84,1,1160,628
84,1,1160,624
84,1,1160,741
84,1,1162,5
84,1,1163,221
84,1,1165,77
84,1,1166,160
84,1,1167,56
84,1,1169,38
84,1,1170,73
84,1,1171,68
84,1,1173,676
84,1,1173,621
84,1,1173,614
84,1,1174,25
84,1,1175,79
84,1,1177,25
84,1,1179,227
84,1,1180,74
84,1,1181,71
84,1,1183,105
84,1,1184,121
84,1,1185,825
84,1,1186,15
84,1,1187,109
84,1,1188,40
84,1,1189,118
84,1,1190,11
84,1,1191,21
84,1,1192,270
84,1,1193,26
84,1,1194,565
84,1,1194,197
84,1,1195,160
84,1,1196,95
84,1,1197,40
84,1,1198,20
84,1,1199,333
84,1,1200,20
